timestamp_s	cs/attenuator/state	cs/cup1/state	cs/cup2/state	cs/cup3/state	cs/cup4/state	cs/cup5/state	cs/einzellens/meas_u_v	cs/einzellens/set_u_v	cs/esa/meas_u_v	cs/esa/set_u_v	cs/extraction/meas_u_v	cs/extraction/set_u_v	cs/ion_cooler/meas_u_v	cs/ion_cooler/set_u_v	cs/ionizer/meas_i_a	cs/ionizer/set_i_a	cs/lens2/meas_u_v	cs/lens2/set_u_v	cs/lens4/meas_u_v	cs/lens4/set_u_v	cs/oven/meas_i_a	cs/oven/set_i_a	cs/oven/temp_c	cs/pump/state	cs/pump_valve/state	cs/qp1/meas_u_v	cs/qp1/set_u_v	cs/qp2/meas_u_v	cs/qp2/set_u_v	cs/qp3/meas_u_v	cs/qp3/set_u_v	cs/quick_cool/state	cs/source_valve/state	cs/sputter/meas_i_a	cs/sputter/meas_i_mA	cs/sputter/meas_u_v	cs/sputter/set_u_v	cs/vac1/meas_v	cs/vac2/meas_v	cs/vent/state	cs/wheel/state	cup/connected	cup/hv	cup/selected	gaussmeter_connected	hv/1/meas_i_mA	hv/1/meas_v	hv/1/set_v	hv/2/meas_i_mA	hv/2/meas_v	hv/2/set_v	hv/3/meas_i_mA	hv/3/meas_v	hv/3/set_v	hv/4/meas_i_mA	hv/4/meas_v	hv/4/set_v	keithley/connected	keithley/current_A	keithley/log	magnet_connected	magnet_current_meas	magnet_current_set	magnet_field_meas	magnet_voltage_meas	pressure/meas_v	pressure/set_v	psu/1/meas_v	psu/1/set_v	psu/2/meas_v	psu/2/set_v	rfq/fg_freq_hz	rfq/fg_vpp	sample/last_command	sample/last_pos_idx	sample/last_sample_name	sample/last_target_steps	sample/last_timestamp	steerer/1x/meas_u	steerer/1x/set_u	steerer/1y/meas_u	steerer/1y/set_u	steerer/2x/meas_u	steerer/2x/set_u	steerer/2y/meas_u	steerer/2y/set_u	steerer/3x/meas_u	steerer/3x/set_u	steerer/3y/meas_u	steerer/3y/set_u	steerer/bias/meas_u	steerer/bias/set_u	stepper_connected	stepper_moving	stepper_position_meas	stepper_target_position_set
1776280769.928233	False	False	False	False	False	False	18917.9662465285	19955.09	2640.56825464644	2755.0	18789.7885067293	19600.0	26410.718100528	27558.0	21.7780083620716	22.0	10542.6190984832	10651.76	8985.86993011261	9310.0	0.0	0.0	26.5	False	False	35.3099154637287	36.0	1400.29602954192	1462.0	73.7937559129612	80.0	False	False	7.69066438795129e-05	0.0769066438795129	7675.40513321329	8000.0	2.90231025116733	2.99874874111148	False	False	True	OFF	1	True	0.0	283.867915890988	300.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000122074037903989	3.76903592028565	13.0	True	1.27407e-08	SCPI >> :SENS:AVER:STAT OFF	True	28.2817	28.2834	-3.14	14.0386	0.00152592547379986	0.0	0.0	0.0	0.640888698995941	0.8			GO	3	3 (C (Cu) new)	246417	2026-04-15T15:38:08	242.545854060488	244.38	294.122135074923	293.75	315.866573076571	316.0	191.335795159764	192.0	244.468520157476	245.96	328.30286568804	329.96	249.458296456801	250.0	True		200	
1776280770.929421	False	False	False	False	False	False	18926.5114291818	19955.09	2640.14099551378	2755.0	18783.3796197394	19600.0	26393.9329203162	27558.0	21.9550157170324	22.0	10559.404278695	10651.76	8789.33072908719	9310.0	0.0	0.0	26.5	False	False	33.7229529709769	36.0	1400.29602954192	1462.0	74.3888668477432	80.0	False	False	7.17184972685934e-05	0.0717184972685934	7673.57402264473	8000.0	2.93343913083285	3.03170873134556	False	False	True	OFF	1	True	0.0	278.710287789544	300.0	0.0	0.0	0.0	0.0	0.198370311593982	0.0	0.000152592547379986	4.3641468550676	13.0	True	1.27792e-08	SCPI >> :SENS:AVER:STAT OFF	True	28.2825	28.2834	-3.14	14.0422	0.00274666585283975	0.0	0.0	0.0	0.65004425183874	0.8			GO	3	3 (C (Cu) new)	246417	2026-04-15T15:38:08	244.575334940642	244.38	291.924802392651	293.75	315.958128604999	316.0	191.198461867122	192.0	245.506149479659	245.96	330.469679860836	329.96	249.504074221015	250.0	True		200	
1776280771.929778	False	False	False	False	False	False	18930.7840205084	19955.09	2640.56825464644	2755.0	18784.447767571	19600.0	26416.8218024232	27558.0	22.0831934568316	22.0	10539.5672475356	10651.76	8983.42844935453	9310.0	0.0	0.0	26.5	False	False	35.9050263985107	36.0	1400.8911404767	1462.0	74.5872371593371	80.0	False	False	7.99584948271126e-05	0.0799584948271126	7660.14587847529	8000.0	2.91116061891537	3.00454725791192	False	False	True	OFF	1	True	0.0	283.272804956206	300.0	0.0	0.0	0.0	0.0	0.198370311593982	0.0	0.000274666585283975	6.74459059419538	13.0	True	1.269959e-08	SCPI >> :SENS:AVER:STAT OFF	True	28.2821	28.2834	-3.14	14.0415	0.00518814661091952	0.0	0.0	0.0	0.695822016052736	0.8			GO	3	3 (C (Cu) new)	246417	2026-04-15T15:38:08	243.964964751122	244.38	291.848506118961	293.75	316.003906369213	316.0	191.21372112186	192.0	246.101260414441	245.96	328.257087923826	329.96	249.549851985229	250.0	True		200	
1776280772.930282	False	False	False	False	False	False	18952.1469771416	19955.09	2640.35462508011	2755.0	18771.6299935911	19600.0	26401.5625476852	27558.0	21.7780083620716	22.0	10542.6190984832	10651.76	8944.36475722526	9310.0	0.0	0.0	26.5	False	False	34.9131748405408	36.0	1401.28788109989	1462.0	74.1904965361492	80.0	False	False	9.8269600512711e-05	0.098269600512711	7654.34736167486	8000.0	2.90749839777825	3.0024109622486	False	False	True	OFF	1	True	0.0	280.098879970702	300.0	0.0	0.0	0.0	0.0	0.396740623187963	0.0	0.0	7.93481246375927	13.0	True	1.267037e-08	SCPI >> :SENS:AVER:STAT OFF	True	28.2821	28.2834	-3.14	14.0415	0.00183111056855983	0.0	0.0	0.0	0.700399792474136	0.8			GO	3	3 (C (Cu) new)	246417	2026-04-15T15:38:08	242.942594683676	244.38	294.061098055971	293.75	315.897091586047	316.0	191.167943357646	192.0	245.963927121799	245.96	327.021088290048	329.96	249.244666890469	250.0	True		200	
1776280773.930535	False	False	False	False	False	False	18963.8966032899	19955.09	2640.67506942961	2755.0	18809.0151676992	19600.0	26392.4069948424	27558.0	21.7780083620716	22.0	10544.5265053255	10651.76	8948.02697836238	9310.0	0.0	0.0	26.5	False	False	34.5164342173528	36.0	1400.29602954192	1462.0	75.777459028901	80.0	False	False	9.8269600512711e-05	0.098269600512711	7654.34736167486	8000.0	2.90688802758873	3.00210577715384	False	False	True	OFF	1	True	0.0	280.098879970702	300.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000122074037903989	4.16577654347362	13.0	True	1.276281e-08	SCPI >> :SENS:AVER:STAT OFF	True	28.2821	28.2834	-3.14	14.0407	0.00122074037903989	0.0	0.0	0.0	0.65004425183874	0.8			GO	3	3 (C (Cu) new)	246417	2026-04-15T15:38:08	244.865260780663	244.38	294.549394207587	293.75	316.049684133427	316.0	191.274758140812	192.0	244.773705252235	245.96	329.920346690268	329.96	249.214148380993	250.0	True		200	
1776280774.930977	False	False	False	False	False	False	18939.3292031617	19955.09	2640.78188421277	2755.0	18784.447767571	19600.0	26389.3551438948	27558.0	21.8939786980804	22.0	10548.7228003784	10651.76	8998.07733390301	9310.0	0.0	0.0	26.5	False	False	35.1115451521348	36.0	1400.29602954192	1462.0	75.3807184057131	80.0	False	False	8.57570116275521e-05	0.0857570116275521	7652.21106601154	8000.0	2.90475173192541	3.00180059205908	False	False	True	OFF	1	True	0.0	278.908658101138	300.0	0.0	0.0	0.0	0.0	0.198370311593982	0.0	0.00021362956633198	5.15762810144353	13.0	True	1.271079e-08	SCPI >> :SENS:AVER:STAT OFF	True	28.2822	28.2834	-3.14	14.0413	0.00152592547379986	0.0	0.0	0.0	0.65004425183874	0.8			GO	3	3 (C (Cu) new)	246417	2026-04-15T15:38:08	243.385113071078	244.38	292.901394695883	293.75	316.034424878689	316.0	191.13742484817	192.0	243.888668477432	245.96	329.90508743553	329.96	249.031037324137	250.0	True		200	
1776280775.931393	False	False	False	False	False	False	18952.1469771416	19955.09	2640.46143986328	2755.0	18772.6981414228	19600.0	26406.1403241066	27558.0	21.7047639393292	22.0	10541.0931730094	10651.76	8961.45512253182	9310.0	0.0	0.0	26.5	False	False	34.5164342173528	36.0	1400.09765923032	1462.0	74.7856074709311	80.0	False	False	9.12503433332316e-05	0.0912503433332316	7656.48365733817	8000.0	2.90688802758873	2.99966429639576	False	False	True	OFF	1	True	0.0	281.48747215186	300.0	0.0	0.0	0.0	0.0	0.198370311593982	0.0	0.0	5.15762810144353	13.0	True	1.268083e-08	SCPI >> :SENS:AVER:STAT OFF	True	28.282	28.2834	-3.14	14.0398	0.00335703604235969	0.0	0.0	0.0	0.686666463209937	0.8			GO	3	3 (C (Cu) new)	246417	2026-04-15T15:38:08	243.079927976318	244.38	291.344950712607	293.75	316.095461897641	316.0	191.259498886074	192.0	244.026001770074	245.96	326.639606921598	329.96	248.985259559923	250.0	True		200	
1776280776.932151	False	False	False	False	False	False	18939.3292031617	19955.09	2640.99551377911	2755.0	18803.6744285409	19600.0	26395.45884579	27558.0	21.9489120151372	22.0	10553.3005767998	10651.76	8801.53813287759	9310.0	0.0	0.0	26.5	False	False	35.1115451521348	36.0	1400.29602954192	1462.0	74.1904965361492	80.0	False	False	7.87377544480728e-05	0.0787377544480728	7671.74291207617	8000.0	2.91512802514725	3.03537095248268	False	False	True	OFF	1	True	0.0	284.661397137364	300.0	0.0	0.0	0.0	0.0	0.396740623187963	0.0	0.00021362956633198	3.76903592028565	13.0	True	1.274439e-08	SCPI >> :SENS:AVER:STAT OFF	True	28.2829	28.2834	-3.14	14.0442	0.00183111056855983	0.0	0.0	0.0	0.617999816888943	0.8			GO	3	3 (C (Cu) new)	246417	2026-04-15T15:38:08	244.941557054353	244.38	293.450727866451	293.75	316.049684133427	316.0	191.244239631336	192.0	244.926297799615	245.96	329.325235755486	329.96	248.924222540971	250.0	True		200	
1776280777.932914	False	False	False	False	False	False	18955.3514206366	19955.09	2640.67506942961	2755.0	18771.6299935911	19600.0	26396.9847712638	27558.0	21.8085268715476	22.0	10540.711691641	10651.76	8844.26404614399	9310.0	0.0	0.0	26.5	False	False	33.7229529709769	36.0	1400.09765923032	1462.0	74.7856074709311	80.0	False	False	9.18607135227516e-05	0.0918607135227516	7661.36661885433	8000.0	2.92764061403241	3.0329294717246	False	False	True	OFF	1	True	0.0	284.46302682577	300.0	0.0	0.0	0.0	0.0	0.793481246375927	0.0	0.000122074037903989	4.3641468550676	13.0	True	1.269349e-08	SCPI >> :SENS:AVER:STAT OFF	True	28.2824	28.2834	-3.14	14.0384	0.00427259132663961	0.0	0.0	0.0	0.645466475417341	0.8			GO	3	3 (C (Cu) new)	246417	2026-04-15T15:38:08	242.75948362682	244.38	294.717246009705	293.75	316.003906369213	316.0	191.274758140812	192.0	246.086001159703	245.96	330.378124332408	329.96	248.939481795709	250.0	True		200	
1776280778.933405	False	False	False	False	False	False	18945.7380901517	19955.09	2639.82055116428	2755.0	18813.2877590259	19600.0	26400.0366222114	27558.0	21.7719046601764	22.0	10553.3005767998	10651.76	8934.59883419294	9310.0	0.0	0.0	26.5	False	False	33.5245826593829	36.0	1400.49439985351	1462.0	74.9839777825251	80.0	False	False	9.55229346598712e-05	0.0955229346598712	7645.19180883206	8000.0	2.91879024628437	3.0252998443556	False	False	True	OFF	1	True	0.0	284.264656514176	300.0	0.0	0.0	0.0	0.0	0.595110934781945	0.0	6.10370189519944e-05	4.3641468550676	13.0	True	1.275577e-08	SCPI >> :SENS:AVER:STAT OFF	True	28.2826	28.2834	-3.14	14.0399	0.00122074037903989	0.0	0.0	0.0	0.65004425183874	0.8			GO	3	3 (C (Cu) new)	246417	2026-04-15T15:38:08	243.537705618458	244.38	293.435468611713	293.75	315.912350840785	316.0	191.183202612384	192.0	245.979186376537	245.96	326.868495742668	329.96	248.863185522019	250.0	True		200	
